15678011,1,1.23,0.17,0.09,9e-06,0.00033
15765511,1.58,2.49,0.0159,0.22,1.06e-05,0.000388
1606411,3.08,6.18,7.74,1.46,3.46e-05,0.00201
1673211,722.69,390.57,24.64,95.35,0.000545,69.4
1689111,80.55,117.33,0.63,11.57,0.0015,1
1976911,0.33,0.48,0.067,2.14,6.45e-06,7.6e-07
2065411,0.35,0.42,0.003,0.0128,5.98e-06,0.000175
2083011,0.0541,0.46,0.00041,0.00219,5.23e-10,4.5e-06
2126811,0.91,2.65,0.0512,3.08,4.42e-05,1.98e-05
2147011,14.67,5.14,0.13,0.36,7.79e-07,3.37e-05
2257011,29.79,31.06,1.03,20.83,0.000206,0.0204
2358611,1,3.78,1.7,0.29,0.2,1
321211,0.57,0.68,0.004,0.0195,3.7e-06,0.00247
3244411,0.22,10.72,0.00372,6.38,2.98e-05,0.00298
3246211,3.29,3.56,0.0519,0.26,1.38e-05,0.0122
3298711,9.26,4.47,0.072,0.83,7.6e-05,1.58e-06
332211,4.1,6.15,0.22,4.62,1.85e-05,0.00815
3414111,30.82,14.97,0.46,7.44,3.11e-06,1.89e-08
3419611,2.02,0.33,0.025,1.29,1.89e-06,1.09e-06
3419811,3.45,1.51,0.36,2.53,0.000173,4.17e-06
4198511,0.12,1.95,0.58,12.38,0.000138,5.37e-06
459211,51.92,31.64,0.23,34.93,0.000102,8.12e-06
4789311,378.84,2203.75,790.45,315.23,0.19,4.64
4840511,1.59,0.79,0.01,0.13,1e-05,0.00023
4841211,165.69,619.72,479.31,72.84,0.0104,2.63
4920211,3.41,3.96,0.0485,24.79,4.1e-05,1.05e-06
4920911,4.56,19.67,0.0729,2.41,6.59e-06,0.0015
492611,28.66,134.42,13.73,53.53,0.00831,0.037
4947511,20.55,140.14,1.31,17.33,0.0025,1.01e-05
4969911,11.33,6.75,0.38,15.4,9.59e-06,0.00155
5003111,289.89,35.76,2.24,36.75,0.00367,0.12
5682511,26.29,5.02,0.0384,1.33,3.84e-05,0.00259
5796511,0.88,0.41,0.00786,7.77,6.69e-06,9.32e-07
5797011,2.83,2.43,0.0266,1.14,2.04e-05,0.00013
6480811,338.46,1023.42,469.93,149.41,0.0388,1.95
6577711,2.65,12.16,0.15,1.38,3.8e-05,0.0496
6592511,2.58,0.8,0.3,1.46,0.000146,5.51e-06
7066411,1073.27,1755.33,491.52,39.13,0.00988,546.09
82811,2.54,3.1,0.0298,0.4,2.28e-05,0.0009
8911,0.64,1.15,0.0489,0.2,1.85e-05,9.1e-05
95511,3.33,2.44,1.56,15.47,0.000103,1.38e-05
9879811,0.0055,0.00295,0.000195,0.0529,1.5e-09,2.68e-06
1148311,1.76,1.97,0.11,0.69,6.74e-05,2.03e-05
12840211,13.18,14.98,12.87,1.15,5.1e-05,0.0594
12872211,96.5,133.4,0.36,17.62,0.000457,0.0144
14416011,3.55,27.51,0.24,0.78,6.54e-05,0.0436
14416211,24.71,199.5,1.67,5.49,0.000462,0.31
14477011,24.27,187.99,1.64,5.32,0.000447,0.3
14478111,10.57,86.55,0.71,2.36,0.000198,0.13
1554011,24.9,40.55,0.42,2.3,0.000191,0.00127
2183511,14.28,22.01,0.3,7.69,0.00016,1.94e-05
3457111,55.54,1255.7,1203.97,94.19,0.00614,0.0761
3569511,72.15,86.5,1.69,6.96,0.00074,0.0626
4349811,49.85,36.05,1.02,4.54,0.000441,0.0155
4367811,582.2,4056.8,2768.1,155.7,0.0263,237.37
4392711,6235.26,2016.96,3664.34,49.42,0.0177,47.79
778211,133.88,2023.16,1018.05,29.12,0.0129,1.29
791911,55.84,107.52,2.01,12.5,0.00046,0.0644
895511,23.5,42.65,45.1,30.83,0.000349,1.9e-06
896011,9.6,42.75,2.02,4.29,0.00022,0.00049
897111,146.68,261.52,58.33,69.43,0.0871,0.93
898911,1242,674.37,99.18,1049.23,0.0436,14.5
14624111,3.95,13.46,0.21,1.77,0.00042,0.0182
15588411,0.99,3.96,0.29,0.16,0.0496,0.0358
2662011,32.8,22.21,0.24,5.34,0.000195,0.2
2753811,0.34,0.95,0.00219,0.0268,1.03e-07,0.0478
552611,9.13,42.93,27.25,4.54,0.00191,0.0713
588711,24.42,247.69,16.55,1.51,0.00508,4.55
642511,21.95,42.88,0.16,1.97,0.000162,0.14
753011,8.59,13.54,0.23,2.97,4.74e-05,0.038
754311,76.68,373.93,513.62,13.62,0.00106,1.53
898011,0.74,10.04,6.07,2.35,7.44e-05,17.01
2439711,26.36,31.38,0.19,19.05,5.73e-06,0.16
2699711,0.2,15.57,0.0014,7.38,1.17e-06,0.00121
14417811,1.63,13.07,0.11,0.39,3.25e-05,0.0216
14417911,0.3,2.44,0.0206,0.0722,6.07e-06,0.00404
2676711,18.72,8.73,8.32,9.63,5.77e-06,0.000122
2691511,8.89,7.48,78.41,0.34,7e-06,0.000999
3449411,0.57,0.68,0.00405,7.36,3e-06,0.004
3654511,14.19,16.89,0.1,3.34,8.4e-05,0.088
533111,3.12,4.97,4.19,1.04,0.0001,0.00313
537411,5.23,12.85,0.61,1.4,2e-05,9.21e-05
537911,2002.68,1130.14,1652.75,380.08,0.0213,19.52
590711,38.71,5.37,2.25,11.46,0.000233,0.00308
639811,24.7,2.38,10.7,23.63,0.0611,7.28
640211,3921.47,7982.23,14916.93,448.48,0.23,107.81
640711,15.84,10.77,0.65,0.8,0.000927,0.076
752711,526.53,3851.9,2526.21,1374.34,0.00669,43.89
769411,1977.67,1654.47,214.06,545.3,0.0909,21.9
827411,7.02,8.36,0.0502,9.75,4.2e-05,0.042
845411,1473.42,5171.98,2402.25,771.11,0.00596,48.95
899611,2.38,2.84,0.0174,0.56,1.4e-05,0.0101
900911,10.06,12.29,2.56,29.77,1e-05,0.00264
919611,1087.84,604.55,107.82,60.27,0.11,4.9
920211,67.45,874.94,16.2,10.18,0.00922,112.77
922311,32.64,949.15,41.4,314.89,0.00036,0.082
14478511,16.37,131.38,1.11,3.88,0.000326,0.22
2827411,221.82,221.82,35.04,188.79,0.0005,1
3678111,52.82,515.7,502.26,141.96,0.0205,1.67
3704511,105.49,155.47,2.24,163.76,0.00631,0.14
3709711,5.38,183.43,466.34,3.65,0.00207,3.52
3711211,16.26,266.54,691.81,8.75,0.00281,4.79
3721011,8528.07,1745.29,165.05,352.24,0.0189,8.16
532511,204.97,204.79,18.88,221.5,0.00056,1.76
536511,42.51,87.59,11.44,7.36,0.003,9.32e-05
538811,23.62,187.38,2.03,144.93,0.000595,0.00941
555311,3977.56,876.91,619.15,399.25,0.068,2.94
7320911,102.69,2896.71,2282.37,124.12,0.00646,0.29
947711,9.15,3147.97,3089.88,699.25,0.0904,11.25
12800011,31.28,74.15,11.23,160.8,0.01,20
12807811,59.34,2.75,0.22,8.04,0.1,0.013
14427811,15.75,122,1.06,3.45,0.00029,0.19
14429111,27.52,214.73,1.86,6.07,0.00051,0.34
3942411,4254.76,3726.31,7306.24,237.87,0.24,260.01
7740811,60.89,130.3,1235.13,19.43,0.0574,0.49
14421211,8.57,66.38,0.58,1.88,0.000158,0.11
15473311,0.39,1.54,0.0164,0.001,9.7e-05,0.0647
559811,27.34,77.58,1646.87,46.68,0.00149,5.4e-05
10692711,0.005,0.006,0.004,0.005,0.00013,0.00265
10770711,3.25,1.42,0.41,0.59,1.53e-07,0.0118
10777611,0.1,0.12,0.000749,0.26,0.25,0.000649
10825611,0.47,0.94,0.0053,0.0496,4.62e-06,0.0048
10830811,23.82,11.01,11.32,4.98,1.52e-06,0.00327
10836911,0.06,0.11,0.002,0.004,9.8e-06,0.00168
10839111,2.41,2.87,0.02,0.31,1.44e-05,0.015
10841911,19.63,9.44,0.06,51.11,4.71e-05,0.049
10848211,8.44,39.03,2.75,9.07,0.01,0.0866
10862211,29.02,34.54,0.21,2.63,0.000173,0.18
10877111,1.54,1.84,0.01,2.39,9.2e-06,0.00957
10929411,8.44,10.05,0.0603,1.2,5.02e-05,0.0522
14422611,25.65,229.35,1.73,5.97,0.000502,0.33
14423711,52.33,470.8,3.54,12.09,0.00102,0.68
14480511,22.2,171.98,1.5,4.87,0.000409,0.27
15453111,0.01,0.01,9e-05,0.008,7.15e-07,0.000744
15468411,0.66,0.79,0.00474,2.58,3.95e-06,0.00411
1724411,0.4,0.04,0.002,0.2,9e-06,0.00135
1725411,154.05,267.96,514.33,5.93,0.00929,12.07
1729911,0.71,0.85,0.005,0.06,4.22e-06,0.00439
1747511,3.29,3.94,0.0398,0.29,2.4e-05,0.025
