5085,88.7,51096,85.6,17.3
5087,18.8,35579,75.3,12.2
5089,27.9,34063,84.8,14.5
5091,69.5,40200,83,12.9
5093,51.6,34267,75.7,12.6
5095,13.4,28306,71.5,13.7
5097,12.2,34934,81.3,11.3
5099,14.6,38006,76.4,10.3
5101,10.1,29702,79.8,12.6
5103,35.6,33008,83.2,13.2
5105,18.9,42514,81.5,11.5
5107,31.3,28225,72.9,12.2
5109,18.8,32457,78.8,11.3
5111,32.4,31939,72.8,9.4
5113,24.1,32395,81.6,10.6
5115,76,40325,82.2,20.4
5117,13.4,36194,76.7,9.9
5119,503.8,45897,88.8,31.3
5121,27.6,33072,80,11.5
5123,44.5,26360,74.1,10.2
5125,148,52982,88.6,22.9
5127,12.6,38910,76,11.1
5129,12.3,29384,72.9,8.5
5131,236.4,40680,82.2,19
5133,30.2,35289,70,9.2
5135,28.6,29590,83,12.8
5137,20.4,31364,79.2,11.8
5139,40.1,37794,81.6,16.5
5141,24.4,32906,81.3,12.7
5143,215.6,41474,82.1,27.6
5145,74.5,41618,82.5,18.4
5147,12.4,27047,72.9,9.6
5149,23.9,37477,70.8,10.5
6000,239.1,61632,80.8,30.2
6001,2043.6,70821,86,40.8
6003,1.6,59018,92,32
6005,64.1,56180,87.3,18.8
6007,134.4,42971,86.1,24
6009,44.7,55256,92.4,20.7
6011,18.6,49558,70.5,13
6013,1465.2,79135,88.5,38.4
6015,28.4,37588,78.2,14.3
6017,106,68815,93,30.8
6019,156.2,46903,72.8,19.5
6021,21.4,43239,74,15.5
6023,37.7,40376,90.2,26.3
6025,41.8,39402,63.4,12.8
6027,1.8,49571,88.8,22.5
6029,103.3,48021,71.2,14.6
6031,110.1,48838,70.7,12.5
6033,51.5,39525,87.2,16.2
6035,7.7,52484,79.8,12.4
6037,2419.6,56266,76.1,29.2
6039,70.6,47724,67.8,14
6041,485.1,89605,92,54
6043,12.6,49174,88.7,20.5
6045,25.1,44527,83.6,22.1
6047,132.2,43945,66.7,12.3
6049,2.5,35402,83.1,16.2
6051,4.7,60469,86.3,30.3
6053,126.5,59737,70.5,23.2
6055,182.4,68641,82.6,30.7
6057,103.1,58077,94.9,32.4
6059,3807.7,75762,83.4,36.2
6061,247.6,74645,93.4,34.6
6063,7.8,44151,90.7,21.1
6065,303.8,58365,79.3,20.6
6067,1470.8,56553,85.2,27.7
6069,39.8,65570,75.3,18.3
6071,101.5,55853,77.8,18.6
6073,735.8,63857,85.3,34.2
6075,17179.1,72947,85.7,51.4
6077,492.6,53764,76.6,17.6
6079,81.7,58630,88.9,30.8
6081,1602.2,87633,88.4,43.9
6083,155,61896,80.2,31.3
6085,1381,89064,86.5,45.5
6087,589.4,66030,84,38.1
6089,46.9,44058,87.6,19.7
6091,3.4,50308,88.2,18.6
6093,7.2,37865,88.8,22.6
6095,503,69914,86.2,24.2
6097,307.1,64343,86.4,31.8
6099,344.2,50671,75.6,16.4
6101,157.3,50010,78.2,18.9
6103,21.5,38753,80.3,12.6
6105,4.3,37672,90.3,19.3
6107,91.7,43550,67.8,12.9
6109,24.9,47359,88.3,17.9
6111,446.7,76728,82.5,31
6113,197.9,57920,84.1,38.4
6115,114.2,46617,78.3,12.7
8000,48.5,57685,89.7,36.3
8001,378.2,56089,81.5,20.7
8003,21.4,38299,87.1,24.7
8005,716.7,59937,90.6,38.3
8007,8.9,60170,92.1,33.5
8009,1.5,37111,85.7,17.5
8011,4.3,35667,78.4,11.3
8013,405.6,66479,93.7,57.7
8014,1691.9,76531,94.9,45.6
8015,17.6,43684,90.7,32.2
8017,1,47188,84.1,15.6
8019,23,62756,96.5,39.9
8021,6.4,34435,82,20.6
8023,2.9,25949,75.8,15.3
8025,7.4,40636,68.9,10.7
8027,5.8,43358,94.4,30.8
8029,27.1,41856,87,17.7
8031,3922.6,47499,84.7,41.3
8033,1.9,44077,88.1,15.5
8035,339.7,101193,97.5,54.6
8037,31,70914,87.8,46.9
8039,12.5,79367,96.8,30.2
8041,292.6,57079,92.8,35.1
8043,30.5,38979,83.9,16.5
8045,19.1,63929,85.3,24.8
8047,36.3,59394,94.1,27.4
8049,8,64281,94.3,29.6
8051,4.7,50073,92.7,47
8053,0.8,77321,95.1,41.5
8055,4.2,29737,83.2,25
8057,0.9,48571,90.1,21.8
8059,699.5,67827,93.2,39.7
8061,0.8,41542,91.2,23
8063,3.8,43194,83.8,15.4
8065,19.4,40543,80.8,21.7
8067,30.3,56910,93.9,41
8069,115.4,57215,93.9,43.1
8071,3.2,40617,83.5,18.2
8073,2.1,43375,79.9,12.3
8075,12.4,42324,87.5,16.4
8077,44.1,52986,89.8,26.1
8079,0.8,54375,97.6,39.7
8081,2.9,50758,86.5,14.1
8083,12.6,45623,89.2,26.1
8085,18.4,47479,84.6,22.9
8087,22,42792,78.1,14.6
8089,14.9,31246,80.6,13.6
8091,8.2,61935,96.9,42.1
8093,7.4,61284,94.8,33.8
8095,6.5,44717,85.8,19.3
8097,17.7,68242,95.5,56.5
8099,7.7,34513,80.9,18.9
8101,66.7,41273,85.7,21.5
8103,2.1,63125,93.3,23
8105,13.1,37885,85.2,19.2
8107,10,64230,97.3,47.9
8109,1.9,33672,77.3,20.1
8111,1.8,36378,90.6,26.5
8113,5.7,66789,95.7,50.4
8115,4.3,36797,85.2,15
8117,46,67915,94.7,49.2
8119,41.9,57931,94.1,29.9
8121,1.9,43945,87,18.6
8123,63.4,55825,85.2,25.6
8125,4.2,44991,86.4,16.4
9000,738.1,69243,88.6,35.7
9001,1467.2,82558,88.4,44
9003,1216.2,64007,87.3,33.9
9005,206.3,71497,91.3,32.7
9007,448.6,77095,93,38.3
9009,1426.7,62497,87.8,32.3
9011,412.2,67010,90.1,30.9
