210,Hart,GA,108.5,11.2,35685,77.1,14.9
211,Heard,GA,40,11.9,39167,69.5,7
212,Henry,GA,633,9.4,64251,89.7,25.2
213,Houston,GA,372.5,8.1,55738,87.5,24.5
214,Irwin,GA,26.9,11.7,40379,76,7.5
215,Jackson,GA,178.1,9.1,52883,79.4,17.6
216,Jasper,GA,37.8,9.7,44404,81.9,16.7
217,Jeff Davis,GA,45.6,14.9,35336,76.4,11.6
218,Jefferson,GA,32.2,14.9,29178,72,8.5
219,Jenkins,GA,24,18.7,25467,68.4,13.5
220,Johnson,GA,32.9,12.8,31301,69.9,11.5
221,Jones,GA,72.8,8.8,51265,88.8,17.3
222,Lamar,GA,99.8,10.8,39684,79,10.9
223,Lanier,GA,54.4,8.2,40878,74.1,13.5
224,Laurens,GA,60,12.4,37640,80,16
225,Lee,GA,79.5,7.5,58252,83.7,18.5
226,Liberty,GA,129.5,10.3,44146,90,17.3
227,Lincoln,GA,38,10.6,36741,80,10.2
228,Long,GA,36.1,7.5,38785,77.5,8.9
229,Lowndes,GA,220.2,9.3,38535,83.6,22.4
230,Lumpkin,GA,105.9,10.1,43704,81.5,20
231,McDuffie,GA,85,10.9,36841,71.8,12.8
232,McIntosh,GA,33.8,11.6,37194,77.5,15.2
233,Macon,GA,36.8,15.1,28726,71.5,11.8
234,Madison,GA,99.6,7.4,41407,73.9,12.5
235,Marion,GA,23.9,8,32610,75.8,6.3
236,Meriwether,GA,43.9,14.9,37028,70.1,9.2
237,Miller,GA,21.7,6.8,33248,78.1,11.3
238,Mitchell,GA,45.9,9.5,37597,68.1,10.7
239,Monroe,GA,66.8,8.3,48632,78.7,18.3
240,Montgomery,GA,38.1,10,34933,81.7,15.4
241,Morgan,GA,51.4,8.3,46918,80.5,24.5
242,Murray,GA,115,11.9,37004,68.4,7.4
243,Muscogee,GA,877.5,9.8,41088,84.3,21.7
244,Newton,GA,367.3,10.8,51691,83.6,19.4
245,Oconee,GA,178,5.9,75136,90,45.2
246,Oglethorpe,GA,33.9,6.8,43255,76.1,14.8
247,Paulding,GA,455.8,8.8,63023,87.9,22.3
248,Peach,GA,184.3,11.6,41333,80.2,17.8
249,Pickens,GA,126.8,8.3,50582,80.4,21.9
250,Pierce,GA,59.3,10,37489,77.5,11.4
251,Pike,GA,82.7,8.9,56433,83.3,15.6
252,Polk,GA,133.6,9.2,38514,72.8,11.2
253,Pulaski,GA,48.2,9.7,32424,76.2,7.3
254,Putnam,GA,61.6,10.4,41756,81.7,18.9
255,Quitman,GA,16.6,12,32656,67.8,7.6
256,Rabun,GA,44,12.3,33533,83.4,24.2
257,Randolph,GA,18,14.7,29071,72.1,14.8
258,Richmond,GA,618.4,11.5,39090,82.3,19.7
259,Rockdale,GA,656.5,10.7,55819,85.1,23.7
260,Schley,GA,30,12.1,34691,67.5,11.3
261,Screven,GA,22.6,12.4,31963,75,11.9
262,Seminole,GA,37.1,10,29639,81.1,10.9
263,Spalding,GA,326.1,11.4,41163,75,14
264,Stephens,GA,146.1,9.5,37502,77.2,14.2
265,Stewart,GA,13.2,11.8,30417,71.4,12
266,Sumter,GA,68,13.4,34416,76.1,18.2
267,Talbot,GA,17.5,10.5,33404,77.4,11.2
268,Taliaferro,GA,8.8,11,24125,60.1,8.5
269,Tattnall,GA,53.2,10.4,33863,74.1,11.3
270,Taylor,GA,23.6,13.8,27479,70.3,6.8
271,Telfair,GA,37.7,16.4,23777,73.3,10.2
272,Terrell,GA,27.8,10.9,30953,63.9,10.2
273,Thomas,GA,82.1,8.4,34419,81.7,19.1
274,Tift,GA,154.9,10.7,37414,76.2,17
275,Toombs,GA,74.8,11,32462,81.3,14
276,Towns,GA,62.9,8.8,39309,85.3,21
277,Treutlen,GA,34.5,14.2,31848,74.1,9.2
278,Troup,GA,161.9,12.3,41961,79.8,19.6
279,Turner,GA,31.3,9.9,29851,69.1,11.4
280,Twiggs,GA,25.2,12.2,27715,65.2,8.7
281,Union,GA,66.3,7.7,43146,83.6,21.1
282,Upson,GA,84,11.5,34068,75.5,11
283,Walker,GA,154,8.2,39578,77.2,13.6
284,Walton,GA,257.2,9,51347,80.7,17.7
285,Ware,GA,40.7,11.3,35431,80.9,13.4
286,Warren,GA,20.5,16.2,33330,71.8,5.9
287,Washington,GA,31.2,11.8,31784,77.1,10.9
288,Wayne,GA,46.9,12.1,39470,78.8,10.7
289,Webster,GA,13.4,8.5,29583,81.1,11.8
290,Wheeler,GA,25.1,10.5,31456,75.5,8.1
291,White,GA,112.8,9.3,39666,84.3,19.6
292,Whitfield,GA,353.2,11.9,42379,68.5,14.8
293,Wilcox,GA,24.5,12.3,31712,74.9,9.2
294,Wilkes,GA,22.6,11.2,28989,74.3,15.5
295,Wilkinson,GA,21.4,10,37500,79.9,12.4
296,Worth,GA,38,9.5,38336,73.2,8.3
297,Hawaii,HI,45.9,9.6,53591,90.9,25.9
298,Honolulu,HI,1586.7,6,71263,90.3,31.2
299,Kauai,HI,108.2,8.4,64422,88.5,24.3
300,Maui,HI,133.3,7.2,64583,89.2,25.7
301,Ada,ID,372.8,6.3,55304,93.1,35.2
302,Adams,ID,2.9,11.7,36845,86.2,19.5
303,Bannock,ID,74.5,7.2,45347,90.8,27
304,Bear Lake,ID,6.1,4.3,43897,90.8,16.6
305,Benewah,ID,12,10.6,37508,87.6,12.1
306,Bingham,ID,21.8,6.1,46169,84.7,16.2
307,Blaine,ID,8.1,6.4,62906,90.7,45.1
308,Boise,ID,3.7,6.7,47128,87.1,19.9
309,Bonner,ID,23.6,9.1,42989,91,22.3
310,Bonneville,ID,55.9,5.9,51311,91.3,26.7
311,Boundary,ID,8.6,8.8,35324,82.3,11.9
312,Butte,ID,1.3,6.6,37821,90.9,18.7
313,Camas,ID,1,6.4,41184,83,23.7
314,Canyon,ID,321.6,8.5,42943,82.4,16.5
315,Caribou,ID,3.9,5,49740,90,18.3
316,Cassia,ID,8.9,5.7,39551,77.3,15.8
317,Clark,ID,0.6,5.8,39792,70.4,7.1
318,Clearwater,ID,3.6,11.7,42043,85.4,14.2
319,Custer,ID,0.9,4.8,43445,90.2,22
320,Elmore,ID,8.8,7.5,43691,84.8,16.2
321,Franklin,ID,19.3,4.6,46344,90.9,18
322,Fremont,ID,7.1,5.4,42178,87.2,18.6
323,Gem,ID,29.8,9,44442,84,12.9
324,Gooding,ID,21.2,5,40854,76.6,12.1
325,Idaho,ID,1.9,8,36706,87.8,13.9
326,Jefferson,ID,23.9,6,52799,87.3,19.8
327,Jerome,ID,37.5,6.3,39232,71.7,12.4
328,Kootenai,ID,111.3,7.8,48075,91.8,23.1
329,Latah,ID,34.6,6.9,39578,93.7,43.7
330,Lemhi,ID,1.7,8.1,40270,90.2,21.2
331,Lewis,ID,8,7.5,35344,88.8,15.2
332,Lincoln,ID,4.3,8.1,45077,75.5,10.8
333,Madison,ID,80,6,33791,94.8,30.9
334,Minidoka,ID,26.5,5.7,43194,75.8,10
335,Nez Perce,ID,46.3,5.8,44540,90.1,19.7
336,Oneida,ID,3.6,3.9,44435,93.1,14.1
337,Owyhee,ID,1.5,4.7,32169,75.3,8.9
338,Payette,ID,55.6,8.3,44943,83.2,14.6
339,Power,ID,5.6,7.3,41797,81.8,15.9
340,Shoshone,ID,4.9,10.5,37934,83.3,12.9
341,Teton,ID,22.6,5.1,52444,88.7,33.2
342,Twin Falls,ID,40.2,6.5,43146,83.8,17.3
343,Valley,ID,2.7,10,52675,93.5,36.8
344,Washington,ID,7,8.6,37878,78.5,17.8
345,Adams,IL,78.5,6.5,45792,89.9,21.2
346,Alexander,IL,35,11.4,27727,75.8,7.9
347,Bond,IL,46.7,8.7,50672,88.4,22.8
348,Boone,IL,193,11.7,61613,85.5,19.8
349,Brown,IL,22.7,4.4,42014,79.9,10.7
350,Bureau,IL,40.2,9.2,48046,88.5,16.3
351,Calhoun,IL,20,8,48958,85.8,13.9
352,Carroll,IL,34.6,9.2,45433,89.1,16.2
353,Cass,IL,36.3,8.2,41139,81.8,13.1
354,Champaign,IL,201.8,9.2,44462,92.9,42.1
355,Christian,IL,49.1,9.1,43964,87.1,12.8
356,Clark,IL,32.6,10.1,47933,89,17.4
357,Clay,IL,29.5,10.4,38905,86,13.6
358,Clinton,IL,79.7,7.2,57246,88.1,19.5
359,Coles,IL,106,10.6,38294,89.5,24.2
360,Cook,IL,5495.1,9.9,54598,83.7,33.7
361,Crawford,IL,44.7,8.3,43923,86.3,14.8
362,Cumberland,IL,31.9,9.2,43255,88,12.7
363,De Kalb,IL,166.6,9.3,54436,91.2,28.2
364,Dewitt,IL,41.7,8.1,48750,89.8,17
365,Douglas,IL,48,8.1,47921,81.8,14.7
366,Du Page,IL,2799.8,8.1,77598,91.9,45.6
367,Edgar,IL,29.8,9.4,42947,88.6,17.2
368,Edwards,IL,30.2,8.4,39071,88.2,12.5
369,Effingham,IL,71.5,7.2,50938,90.1,19.3
370,Fayette,IL,30.9,10.5,43081,83.3,13.7
371,Ford,IL,29,8.9,50332,86.9,16.3
372,Franklin,IL,96.8,11,36383,84.9,12.8
373,Fulton,IL,42.8,9.9,42963,84,14
374,Gallatin,IL,17.3,9,38577,78.6,9.8
375,Greene,IL,25.6,9.1,42193,85.6,13.3
376,Grundy,IL,119.8,11,64592,91.3,18.1
377,Hamilton,IL,19.5,8.3,39000,82.3,13
378,Hancock,IL,24.1,9,43567,90.5,18.9
379,Hardin,IL,24.3,11.1,30875,78.9,10.6
380,Henderson,IL,19.3,7,47944,87.2,15.3
381,Henry,IL,61.3,7.4,50698,87.7,20.3
382,Iroquois,IL,26.6,8.1,48248,87.7,13.7
383,Jackson,IL,103.1,8.8,32896,89.9,35.6
384,Jasper,IL,19.6,8.2,47731,89.7,15.1
385,Jefferson,IL,68,8.6,42679,85.5,15.2
386,Jersey,IL,62.2,8.8,54469,88.5,16.6
387,Jo Daviess,IL,37.7,7,52487,89.9,23.3
388,Johnson,IL,36.6,10.9,42172,80.5,13
389,Kane,IL,990.8,9.3,69496,83.1,31.8
390,Kankakee,IL,167.7,11,49266,85.8,17.3
391,Kendall,IL,358.2,8.7,82649,92.1,33.7
392,Knox,IL,73.9,8.4,40112,85.4,16.2
393,Lake,IL,1585.6,8.7,79666,88.6,41.5
